z轴转：0.618076   x轴转：-1.93442   y轴转：-0.444475
z轴转：0.175586   x轴转：-2.06009   y轴转：-1.16897
z轴转：-0.391064   x轴转：-3.32441   y轴转：-1.61168
z轴转：-0.593707   x轴转：-3.56719   y轴转：-2.48307
z轴转：-0.175987   x轴转：-1.83042   y轴转：-3.4807
z轴转：-0.664203   x轴转：-1.52311   y轴转：-4.27646
z轴转：-0.218785   x轴转：-1.55413   y轴转：-4.82868
z轴转：0.166103   x轴转：-0.666966   y轴转：-5.62027
z轴转：-0.609218   x轴转：-1.65869   y轴转：-5.97164
z轴转：-0.271687   x轴转：-1.25863   y轴转：-6.39073
z轴转：0.23309   x轴转：-0.995712   y轴转：-6.86819
z轴转：0.413319   x轴转：-1.15084   y轴转：-7.24826
z轴转：0.345029   x轴转：-0.649377   y轴转：-7.74419
z轴转：-0.121609   x轴转：-1.28918   y轴转：-8.04273
z轴转：0.199816   x轴转：-0.179158   y轴转：-8.25184
z轴转：0.90724   x轴转：-0.609721   y轴转：-8.65325
z轴转：1.48641   x轴转：-0.576051   y轴转：-8.93072
z轴转：2.3364   x轴转：-0.286858   y轴转：-9.02503
z轴转：1.6395   x轴转：0.0629641   y轴转：-8.91287
z轴转：2.95522   x轴转：-0.715709   y轴转：-9.0675
z轴转：3.59243   x轴转：-0.759133   y轴转：-9.15604
z轴转：3.64043   x轴转：-0.380994   y轴转：-9.03812
z轴转：4.64647   x轴转：-0.130066   y轴转：-8.8837
z轴转：4.92524   x轴转：-0.473368   y轴转：-8.86054
z轴转：5.28329   x轴转：0.377796   y轴转：-8.5672
z轴转：6.15064   x轴转：-0.531272   y轴转：-8.48793
z轴转：6.82241   x轴转：-0.959354   y轴转：-8.48431
z轴转：8.05355   x轴转：-0.421479   y轴转：-8.25759
z轴转：8.04231   x轴转：0.206259   y轴转：-7.9397
z轴转：9.17353   x轴转：0.312028   y轴转：-7.84151
z轴转：9.41721   x轴转：-0.283752   y轴转：-7.63389
z轴转：9.84431   x轴转：-0.909789   y轴转：-7.75619
z轴转：9.58887   x轴转：-0.377339   y轴转：-7.66176
z轴转：9.55272   x轴转：-0.585854   y轴转：-7.72345
z轴转：9.93576   x轴转：0.253298   y轴转：-7.70839
z轴转：10.7383   x轴转：0.290834   y轴转：-7.69437
z轴转：10.9856   x轴转：0.262956   y轴转：-7.48113
z轴转：11.3509   x轴转：-0.516767   y轴转：-7.48007
z轴转：10.9049   x轴转：-1.39142   y轴转：-7.2226
z轴转：12.0832   x轴转：-1.47425   y轴转：-7.47391
z轴转：12.2852   x轴转：-0.753133   y轴转：-7.33097
z轴转：12.4159   x轴转：-2.53431   y轴转：-7.44313
z轴转：12.7965   x轴转：-2.1714   y轴转：-7.51325
z轴转：12.3749   x轴转：-3.03456   y轴转：-7.28615
z轴转：12.7181   x轴转：-3.73722   y轴转：-7.39456
z轴转：13.122   x轴转：-3.40471   y轴转：-7.36393
z轴转：12.6303   x轴转：-3.83641   y轴转：-7.27761
z轴转：12.8657   x轴转：-3.8483   y轴转：-7.27172
z轴转：12.8657   x轴转：-3.8483   y轴转：-7.27172
z轴转：13.2353   x轴转：-3.29562   y轴转：-7.52884
z轴转：13.1095   x轴转：-3.40915   y轴转：-7.50424
z轴转：13.1077   x轴转：-3.39018   y轴转：-7.52651
z轴转：13.3277   x轴转：-3.72581   y轴转：-7.75126
z轴转：13.8035   x轴转：-3.25994   y轴转：-7.68008
z轴转：14.9372   x轴转：-3.24916   y轴转：-7.77658
z轴转：14.929   x轴转：-3.2411   y轴转：-7.79974
